Qual o município está localizado?,"Qual é o porte do produtor? (Pequeno, Médio, Grande)",Quais culturas você planta?,Qual cultura está sendo atacada?,Qual mês do ano estamos?,Quais sintomas você está observando nas plantas?,Qual a extensão do dano observado?,Há presença de insetos ou larvas visíveis nas plantas?,Você notou alterações no crescimento ou desenvolvimento das plantas?,Houve mudanças recentes nas condições do solo ou do clima?,DIAGNÓSTICO
Boa Vista,Pequeno,"Mandioca, Milho",Mandioca,Janeiro,Quais sintomas você está observando nas plantas?,Moderado,Sim,sim,Seca prolongada,Percevejo
Alto Alegre,Médio,Milho e soja,Milho,Abril,Folhas amareladas e com buracos,Moderado,Sim,Sim,Chuvas intensas,Lagarta-do-cartucho
Alto Alegre,Grande,Soja e arroz,Soja,Julho,Desenvolvimento atrofiado e folhas enroladas,Extenso,Sim,Sim,Não,Percevejo-da-soja
Iracema,Pequeno,"Banana, Mandioca e Melancia",Banana,Outubro,Presença de manchas escuras nos frutos,Leve,Não,Não,Seca prolongada,Broca-do-fruto
Caroebe,Pequeno,Mandioca e batata-doce,Mandioca,Julho,Raízes com sinais de podridão,Leve,Sim,Sim,Chuvas intensas,Larva-de-arame ou Corós
Caroebe,Pequeno,Mandioca e batata-doce,Mandioca,Julho,Raízes com sinais de podridão,Leve,Sim,Sim,Chuvas intensas,Larva-de-arame ou Corós
Cantá,Pequeno,"Goiaba, Citrus e Abacaxi",Citrus,novembro,Insfestação na planta,Extenso,sim,não,Não,Cochonilha
Boa Vista,Pequeno,"Milho, Soja",Milho,Janeiro,"Folhas murchas, pontos amarelos",Moderado,Sim,Sim,Sim,Pragas Foliares e do Grão
Rorainópolis,Grande,"Algodão, Soja",Algodão,Fevereiro,Manchas marrons nas folhas,Extenso,Não,Sim,Seca prolongada,Pragas de Folhas e Frutos
Caracaraí,Médio,"Milho, Algodão",Algodão,Março,"Caules roídos, folhas comidos",Leve,Sim,Não,Não,Lagartas
Mucajaí,Pequeno,"Soja, Feijão",Soja,Abril,"Raízes enfraquecidas, plantas amareladas",Extenso,Não,Sim,Seca prolongada,Pragas do Solo
Cantá,Grande,"Milho, Trigo",Trigo,Maio,Caules perfurados,Moderado,Sim,Não,Não,Brocas e Insetos de Colmo
Alto Alegre,Médio,"Soja, Milho",Soja,Junho,"Caules quebradiços, folhas perfuradas",Leve,Sim,Sim,Sim,Percevejo
Bonfim,Pequeno,"Frutas, Hortaliças",Tomate,Julho,Frutos com buracos,Extenso,Sim,Não,Chuvas intensas,Brocas e Pragas dos Frutos
Pacaraima,Médio,"Milho, Soja",Milho,Agosto,"Raízes roídas, queda de folhas",Moderado,Sim,Não,Sim,Pragas de Raiz e Solo
São João da Baliza,Grande,"Milho, Algodão",Algodão,Setembro,"Folhas enroladas, manchas amarelas",Extenso,Não,Sim,Não,Pragas de Folha e Fruto
Normandia,Médio,"Milho, Café",Café,Outubro,"Folhas caindo, crescimento lento",Leve,Sim,Sim,Seca prolongada,Pragas Foliares e do Grão
Iracema,Pequeno,"Feijão, Mandioca",Feijão,Novembro,"Manchas brancas, murcha",Extenso,Sim,Não,Chuvas intensas,Lagartas
Uiramutã,Médio,"Soja, Arroz",Soja,Dezembro,"Manchas nas folhas, queda de folhas",Moderado,Não,Sim,Não,Pragas Foliares e do Grão
Amajari,Pequeno,"Mandioca, Hortaliças",Mandioca,Janeiro,"Raízes podres, folhas amareladas",Extenso,Sim,Não,Chuvas intensas,Pragas do Solo
Caroebe,Grande,"Algodão, Milho",Algodão,Fevereiro,"Folhas comidas, caules enfraquecidos",Moderado,Sim,Não,Sim,Pragas de Folhas e Frutos
Rorainópolis,Médio,"Soja, Algodão",Soja,Março,"Caules perfurados, crescimento anormal",Leve,Sim,Sim,Seca prolongada,Brocas e Insetos de Colmo
Boa Vista,Pequeno,"Milho, Café",Café,Abril,"Folhas amareladas, queda de frutos",Extenso,Não,Não,Não,Pragas de Folhas e Frutos
Iracema,Grande,"Milho, Soja",Milho,Maio,"Caules roídos, folhas descoloridas",Moderado,Sim,Sim,Seca prolongada,Lagartas
Normandia,Pequeno,"Hortaliças, Frutas",Abobrinha,Junho,"Frutos com manchas, folhas perfuradas",Extenso,Sim,Não,Sim,Pragas de Folha e Fruto
Amajari,Médio,"Soja, Milho",Soja,Julho,"Manchas nas folhas, queda de folhas",Extenso,Sim,Não,Seca prolongada,Pragas de Raiz e Solo
